CITY,ZIPCODE,shape_wkt,POINT_X,POINT_Y
Jamaica Plain,2130,POINT (-71.103489998999976 42.308920000000057),-71.10348999899998,42.30892000000006
Roxbury,2119,POINT (-71.098119605999955 42.313929220000034),-71.09811960599995,42.313929220000034
Jamaica Plain,2130,POINT (-71.109599999999944 42.305999999000051),-71.10959999999993,42.30599999900005
Roxbury,2119,POINT (-71.101609999999937 42.316550001000053),-71.10160999999994,42.316550001000046
Jamaica Plain,2130,POINT (-71.105838778999953 42.321776662000048),-71.10583877899995,42.32177666200005
Jamaica Plain,2130,POINT (-71.106935165999971 42.326284092000037),-71.10693516599997,42.32628409200004
Roxbury,2120,POINT (-71.098290000999953 42.333010000000058),-71.09829000099995,42.33301000000006
Boston,2115,POINT (-71.101689999999962 42.337890000000073),-71.10168999999996,42.33789000000007
Boston,2115,POINT (-71.091529999999977 42.341449999000076),-71.09152999999998,42.34144999900008
Roxbury,2120,POINT (-71.099177418999943 42.330579611000076),-71.09917741899993,42.33057961100008
Boston,2215,POINT (-71.094320677999974 42.346763943000042),-71.09432067799997,42.34676394300004
Boston,2215,POINT (-71.099259999999958 42.343430000000069),-71.09925999999996,42.34343000000007
Boston,2215,POINT (-71.106759999999952 42.347940000000051),-71.10675999999995,42.34794000000005
Jamaica Plain,2130,POINT (-71.114218306999987 42.318676813000025),-71.11421830699999,42.318676813000025
Jamaica Plain,2130,POINT (-71.112949999999955 42.318500000000029),-71.11294999999996,42.31850000000002
Jamaica Plain,2130,POINT (-71.131489999999985 42.305580000000077),-71.13148999999999,42.30558000000008
Roslindale,2131,POINT (-71.135329999999954 42.277760000000058),-71.13532999999995,42.27776000000006
Roslindale,2131,POINT (-71.14104999999995 42.281220000000076),-71.14104999999995,42.28122000000008
West Roxbury,2132,POINT (-71.15236699999997 42.292652000000032),-71.15236699999997,42.29265200000003
West Roxbury,2132,POINT (-71.156129999999962 42.263429999000039),-71.15612999999996,42.26342999900004
West Roxbury,2132,POINT (-71.162569505999954 42.271877167000071),-71.16256950599995,42.27187716700007
West Roxbury,2132,POINT (-71.174339999999972 42.282259999000075),-71.17433999999997,42.28225999900008
West Roxbury,2132,POINT (-71.158369999999934 42.282990000000041),-71.15836999999993,42.28299000000004
Brighton,2135,POINT (-71.160189999999943 42.345580000000041),-71.16018999999993,42.34558000000004
Brighton,2135,POINT (-71.161499999999933 42.35107000000005),-71.16149999999993,42.35107000000005
Brighton,2135,POINT (-71.160759999999982 42.352119999000081),-71.16075999999998,42.35211999900008
Brighton,2135,POINT (-71.155347977999952 42.347593036000035),-71.15534797799995,42.34759303600004
Brighton,2135,POINT (-71.145286044999978 42.35056411000005),-71.14528604499998,42.35056411000005
Brighton,2135,POINT (-71.145489998999949 42.349080000000072),-71.14548999899995,42.34908000000007
Brighton,2135,POINT (-71.140510000999939 42.342030001000069),-71.14051000099994,42.34203000100007
Allston,2134,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008
Allston,2134,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008
Hyde Park,2136,POINT (-71.117723226999942 42.263208411000051),-71.11772322699994,42.26320841100005
Allston,2134,POINT (-71.134110000999954 42.360760000000028),-71.13411000099995,42.36076000000003
West Roxbury,2132,POINT (-71.149609998999949 42.260750001000076),-71.14960999899995,42.26075000100008
